rank,Name,Team,IP,vFA,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
1,Zack Wheeler,2 Tms,1523.0,96.01280719363749,90.8266066687713,87.70575532418073,,95.7031560289717,84.34598129681277,80.75038948059083,,57.599998474121094,89.0522882199755,,
2,Jacob deGrom,2 Tms,1156.0,97.0848625109553,,,,95.08532858118765,91.23542074090429,82.16048824520072,,,89.6651241850225,,
3,Aaron Nola,PHI,1619.0,92.66004388747885,86.72698441762773,,,91.68927003331828,83.14117790670956,,78.57282809347812,,85.23998173896088,,
4,Max Scherzer,5 Tms,1288.2,94.14525861929584,89.05455070504507,,,93.4516875877809,85.33394997035907,76.8035419170673,,,84.32681340043263,,
5,Gerrit Cole,3 Tms,1417.1,96.8585098631439,92.0114641895488,,,96.02114549381717,88.72810180275715,,82.54751742150097,,88.88239032134122,,
6,Chris Sale,2 Tms,1063.1,94.6374338291467,,,,93.52654366530452,79.06758955205927,,,,86.67968328741458,,
7,Kevin Gausman,5 Tms,1533.2,94.39928680151439,,84.72306151350696,,93.29937355473356,82.92876178820462,,,,83.68884715781546,,
8,Sonny Gray,6 Tms,1382.1,92.71819645899717,87.83718307818441,,,92.48685178615499,84.25284482917651,80.44698700123588,75.36428574153355,,87.92949313617378,,
9,Justin Verlander,4 Tms,1232.1,94.66238260852073,91.76470588235294,,,94.7050048828125,86.99123740353302,79.08023641236436,,,85.6873762212391,,
10,Luis Castillo,2 Tms,1482.0,96.15219936125268,90.85000610351562,,,96.207142779422,85.50446027316069,,,,87.64037341411365,,
11,Logan Webb,SFG,1149.0,92.87228766274023,90.6741568075644,,,92.3652807955241,83.42134693616295,,,,86.67633807966078,,
12,Max Fried,2 Tms,1116.1,93.9014103321474,92.5212122912044,,,93.56719853916037,84.13140272008029,74.50055067772566,,,85.63605556634843,,
13,Clayton Kershaw,LAD,1093.1,90.87677869062932,,83.1619478748963,,92.23275967301994,87.11924992966992,73.27903420343588,58.599998474121094,46.29999923706055,85.11803211149622,,
14,Blake Snell,4 Tms,1072.0,95.37603257789435,,,,,87.69339479577343,80.76985851606106,,,86.71598788318092,,
15,Dylan Cease,3 Tms,1105.2,96.69779171615203,91.81052760074013,,,96.20354343848892,87.09953391453504,,80.78620672006028,,79.90921425122893,,
16,Charlie Morton,5 Tms,1358.1,94.94142778424765,87.68279113616407,86.41759264910662,,94.4741158402257,,80.72719881586376,,,86.31346309813463,,
17,Corbin Burnes,3 Tms,886.0,94.9481094822739,94.8219033323262,,,96.18841277459175,87.35151213196042,80.69252665177689,,,89.69158447608038,,
18,Shane Bieber,2 Tms,889.2,92.51846312376037,87.16493141135133,,,93.69999694824219,84.87586680497273,,82.46489575042105,,87.82096370061238,,
19,José Berríos,2 Tms,1510.0,93.72530936795604,90.30237154150197,,,93.21336124380105,,82.36290048021789,,,84.23291697740832,,
20,Framber Valdez,2 Tms,1127.1,93.53161068279951,89.145,,,93.89201621117773,84.19223463635007,79.35323865513065,,,89.37425063366273,,
21,Tarik Skubal,DET,821.2,95.80920626062925,94.85714285714286,85.49749984741212,,96.15688451350043,88.40033338385221,80.92327459927263,76.24208657035615,,85.93125118679471,,
22,Sandy Alcantara,MIA,1190.2,97.22680890538034,90.00305641698473,,,97.01769127322986,88.63718157077533,84.08242203922015,,,91.01721861172567,,
23,Patrick Corbin,4 Tms,1557.0,91.74317721150854,86.60611510791367,,,91.84146463044576,80.82167762433978,70.38437076432108,61.333334604899086,,81.32332940176944,,
24,Yu Darvish,4 Tms,1132.1,94.47549754175647,90.11300737194549,88.9111308654509,,93.9388357771065,84.40195261123321,72.82555280412946,79.37883693220542,,88.28308890847599,,
25,Lance Lynn,6 Tms,1207.2,93.35812808255174,88.492423828125,,,91.89560132216747,83.48865265541889,80.98849630647975,78.9888916015625,,85.7022785716828,,
26,Zack Greinke,3 Tms,1122.1,89.4865956606408,85.49285659510574,80.0857173374721,,90.08316049262855,82.96583405722203,71.82757037096297,62.64166831970215,65.58257657831365,86.72197791916167,,
27,Carlos Rodón,3 Tms,1022.0,94.62311621542166,91.86052797551741,,,92.81821220034645,85.6902881349557,80.18308771965411,,,85.01499448890262,,
28,Nathan Eovaldi,3 Tms,1051.2,96.03374613256057,91.51094078310399,88.04939495807827,,93.44798381446188,85.92343239752958,77.48877327286877,,,,,
29,Brandon Woodruff,MIL,763.2,95.5903197009154,89.19120279947917,,,95.49501780587455,87.3228382317013,83.31104760534703,,,85.74823426199276,,
30,Michael Wacha,6 Tms,1217.0,93.50075916821866,88.97437196506893,,,93.05285759624061,84.6563123337766,75.43793637471428,,,83.38142444432324,,
31,Pablo López,2 Tms,965.0,94.18697410721927,90.02084077210924,,,93.55642462855074,84.50662149857898,80.9976018936489,,,87.56038755815065,,
32,Eduardo Rodriguez,3 Tms,1175.2,92.57292132179103,88.60277910305344,,,92.40357564197124,83.47553461119186,80.07243218823014,,,86.37238999025745,,
33,Kyle Hendricks,2 Tms,1280.1,87.04907510747354,85.88076547475961,,,86.77687550241157,,72.57056710933364,,,79.61939785404401,,
34,Luis Severino,3 Tms,993.1,96.83714097683182,92.55324529680254,,,95.74529782113999,86.43050885139628,,,,87.28266106060364,,
35,Marcus Stroman,4 Tms,1129.2,92.39078054585919,89.9098472639589,85.48055258022274,,92.01255566145103,85.5346172701928,84.62889025141133,,,84.29223690257353,,
36,Freddy Peralta,2 Tms,942.1,93.59277200028276,,,,92.41935483870968,81.64996244564698,77.55292272862233,75.06128914125505,,88.04109299350792,,
37,Zac Gallen,2 Tms,1099.1,93.56431218264636,89.11685735696753,,,93.03043498163638,87.63858765924434,,81.24556421097657,,86.19670195128444,,
38,Corey Kluber,5 Tms,741.0,91.95699625559911,87.74596526207736,,,91.0572214238923,,82.72971765024651,,,84.21661680438608,,
39,Ranger Suarez,2 Tms,757.1,92.50876074722133,87.45049819996916,,,91.65838472342786,81.7321222401198,75.01779768003513,,,82.31685959162567,,
40,Jack Flaherty,4 Tms,1060.0,93.38886927294274,88.66387869831274,,,91.41960154598625,84.4249790307437,,77.37085819335009,57.29999923706055,85.66482970674159,,
